,symbol,ticker
996,NATIONALUM,6364
997,NATNLSTEEL,8682
998,NAUKRI,13751
999,NAVINFLUOR,14672
1000,NAVKARCORP,10557
1001,NAVNETEDUL,2385
1002,NBCC,31415
1003,NBIFIN,19111
1004,NBVENTURES,4014
1005,NCC,2319
1006,NCLIND,14490
1007,NDGL,18371
1008,NDL,31258
1009,NDRAUTO,22255
1010,NDTV,11427
1011,NECCLTD,13522
1012,NECLIFE,11927
1013,NELCAST,14761
1014,NELCO,2388
1015,NEOGEN,9917
1016,NESCO,15409
1017,NESTLEIND,17963
1018,NETWORK18,14111
1019,NEULANDLAB,2406
1020,NEWGEN,1164
1021,NEXTMEDIA,9867
1022,NFL,13925
1023,NH,11840
1024,NHPC,17400
1025,NIACL,399
1026,NIBL,29737
1027,NIITLTD,11522
1028,NILAINFRA,9257
1029,NILASPACES,7450
1030,NILKAMAL,2421
1031,NIPPOBATRY,6782
1032,NIRAJ,255
1033,NIRAJISPAT,18844
1034,NITCO,13300
1035,NITINFIRE,13320
1036,NITINSPIN,13175
1037,NKIND,2439
1038,NLCINDIA,8585
1039,NMDC,15332
1040,NOCIL,2442
1041,NOIDATOLL,10786
1042,NORBTEAEXP,4160
1043,NOVARTIND,9007
1044,NRAIL,20314
1045,NRBBEARING,7553
1046,NSIL,11239
1047,NTL,30550
1048,NTPC,11630
1049,NUCLEUS,10791
1050,NXTDIGITAL,14547
1051,OAL,10768
1052,OBEROIRLTY,20242
1053,OCCL,12231
1054,OFSS,10738
1055,OIL,17438
1056,OILCOUNTUB,8109
1057,OLECTRA,10637
1058,OMAXAUTO,10922
1059,OMAXE,14853
1060,OMINFRAL,24231
1061,OMKARCHEM,21515
1062,ONELIFECAP,25496
1063,ONEPOINT,9939
1064,ONGC,2475
1065,ONMOBILE,15278
1066,ONWARDTEC,2481
1067,OPTIEMUS,21469
1068,OPTOCIRCUI,11526
1069,ORBTEXP,31475
1070,ORCHPHARMA,929
1071,ORICONENT,10163
